Price,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_12,EMA_26,MACD,Signal,RSI,BB_upper,BB_lower,BB_width,Volume_change,Daily_return,Volatility
Ticker,META,META,META,META,META,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2021-06-01,327.57933830612393,328.839469050858,324.0966889019142,326.5672912597656,11765900,315.1900466918945,306.39754760742187,320.6345404059047,315.479938603518,5.154601802386708,3.7634886482017595,70.33112918157927,332.68801200120936,297.69208138257966,0.11103120477925188,-0.022554704504294976,0.0012167906442692722,0.017205497651846702
2021-06-02,327.80756141635504,329.2859501143572,324.5729351203657,326.5871276855469,11654300,315.7253479003906,307.10420288085936,321.55050578807646,316.3192631942526,5.231242593823879,4.0570427891219465,75.76529454977425,333.95218872319526,297.49850707758594,0.1154601044484722,-0.009485037268717189,6.074223081165009e-05,0.01688138572712237
2021-06-03,323.2433575381614,324.83090541378255,320.9612782844265,323.5013427734375,12610800,316.27205963134764,307.8068896484375,321.8506852245116,316.86117497457366,4.9895102499379504,4.243537984804108,69.97316877167674,334.75418723694685,297.78993202574844,0.11687486796742211,0.08207271135975569,-0.009448580946768037,0.01684298330575756
2021-06-04,323.3624685477202,329.8713885966346,322.64807340674366,327.77783203125,13289400,316.78454132080077,308.7635827636719,322.7626842233886,317.68373851974945,5.0789457036391354,4.410620749529785,65.78323251850267,335.9684167242912,297.6006659173103,0.12111623454544365,0.05381101912646313,0.013219386420932233,0.016736909705013833
2021-06-07,326.9145364253234,335.060601318784,326.36880079638615,333.959228515625,20136700,317.6527297973633,309.91137451171875,324.48543770217793,318.9085249044431,5.576912797734849,4.64388052280896,70.54486962744107,338.31522677849443,296.99023281623215,0.1300948806220689,0.5152452330428763,0.018858494627500333,0.01712262797251801
2021-06-08,334.07832199527667,335.66583948741965,329.6530276600603,331.0818176269531,14580500,319.0274429321289,310.91668579101565,325.5003691716014,319.82352777896114,5.676841392640256,4.850473662971099,74.3033618421003,339.4063471120374,298.6485387522204,0.12775643369491554,-0.27592405905634987,-0.008616054425150454,0.01399476683969962
2021-06-09,333.1258016057894,334.17754565379573,327.4305049367785,327.6785583496094,13727900,320.20420837402344,311.6991442871094,325.83550419794966,320.4133061520073,5.422198045942366,4.964818967381927,67.14004901482002,339.6614802662147,300.74693648183217,0.12153039456285762,-0.05847536092726591,-0.010279209235157682,0.014370373019472665
2021-06-10,328.2143580705369,331.33982497689396,325.9917789291626,329.871337890625,13240200,321.6880630493164,312.58142150878905,326.4564471527152,321.12272680791875,5.333720344796461,5.038599463701321,65.12347563576577,339.1435645518781,304.23256154675465,0.10852439681534416,-0.03552619118729017,0.00669186153668333,0.01382165792492133
2021-06-11,329.99039355021097,330.2384469560632,326.3688198807592,328.6806945800781,13587900,322.9779418945312,313.31030212402345,326.7986602656956,321.6891004416274,5.109559824068242,5.052791569758048,66.84599747470634,338.2598142437862,307.69606954527626,0.09463105907241974,0.02626093261431106,-0.0036094172902698674,0.013908799679956667
2021-06-14,329.31566060726266,334.1973644395812,327.24193798799115,334.1477355957031,12250800,324.0113296508789,314.0665661621094,327.929346511975,322.62191159643504,5.307434915539943,5.103720336474563,64.54936854123534,339.38382334887973,308.6388359528781,0.0948886183366775,-0.09840372684520782,0.016633289103303417,0.0122797878088193
2021-06-15,334.3660512618339,337.27326012162166,332.42132108487635,334.1279296875,15795200,325.06754302978516,314.6190301513672,328.8830169945728,323.48271035587527,5.400306638697543,5.163037687822735,61.61226078755108,340.155736667354,309.9793493922163,0.0928311297826886,0.2893198811506188,-5.927290863672052e-05,0.012254134891792825
2021-06-16,334.0783412293465,334.9216985906193,326.16046556361823,328.5020751953125,17232200,326.1153198242188,315.1115643310547,328.82440836417976,323.8579464336147,4.96646193056506,5.123722488170906,53.8758192817666,338.79940230601,313.43123734242755,0.07778893974455502,0.09097700567260936,-0.016837426603185213,0.012201452170073759
2021-06-17,327.9166858746589,335.348386848026,327.5793368606947,333.88983154296875,17794100,327.25240020751954,315.5763189697266,329.603728987817,324.6073945766686,4.996334411148439,5.098244847778015,54.228599636615435,338.25267092506635,316.25212948997273,0.06722805217362039,0.032607560265085045,0.016400981164131023,0.012413387136834694
2021-06-18,331.9251840766744,333.53256511705314,326.43824458108406,327.0931091308594,23039500,327.8005966186523,315.9065277099609,329.21746939929596,324.7929765005589,4.424492898737071,4.963494352239505,50.98323347176628,337.4803885943923,318.12080464291233,0.05905902597853414,0.29478310226423354,-0.020356182698647696,0.013142969477080445
2021-06-21,328.51196839114846,330.3277360767431,325.09875148397424,329.70263671875,11337500,328.5973388671875,316.30003967285154,329.29211222261404,325.15931429878293,4.132797923831106,4.79735496227044,53.190586761637,335.6917317619277,321.50294597244726,0.04317985604629401,-0.5079103279151023,0.007977935074280795,0.013023653098471871
2021-06-22,330.09953680226704,337.2732518527593,330.0102412140811,336.3901672363281,15345300,329.3117309570313,316.84555908203123,330.3841416969853,325.99685875260286,4.387282944382434,4.715340517507797,58.78377046629669,336.5287474493918,322.09471446467074,0.043830910434843925,0.3534994487320837,0.02028352149116386,0.012478865596082932
2021-06-23,336.70768365205276,340.7460001805239,335.56664409367676,337.9380187988281,14817800,329.94674530029295,317.45735717773437,331.54629555566345,326.88692844251096,4.659367113152484,4.704145832139443,63.30224251442388,337.8561775516038,322.03731304898207,0.04794369008921303,-0.034375346197206946,0.0046013579267689675,0.012369063614851208
2021-06-24,339.1882123029975,342.2144515558053,339.12868191166035,340.5078430175781,12329100,330.7167022705078,318.258271484375,332.9250141576363,327.90173285370366,5.023281303932663,4.767972947011331,62.11057824929067,339.5833075778867,321.8500969631289,0.0536205474141824,-0.16795340738841125,0.007604424704519053,0.012417113584596413
2021-06-25,339.92247698416224,341.44056268544,337.035131575858,338.71197509765625,14594400,331.14434814453125,318.9240478515625,333.8153262183155,328.7067869988186,5.10853921949689,4.836086219021052,54.93311353009403,340.69625703189934,321.59243925716316,0.057690302980493935,0.18373603912694358,-0.0052740867993139595,0.012126126157283926
2021-06-28,339.793510478652,355.3514450058949,339.10888057251884,352.87091064453125,29156100,332.4793731689453,319.9055462646484,336.746983506178,330.50560895828716,6.241374547890871,5.117143942605236,68.32451392495004,345.817428726387,319.1413176115036,0.08023388296430722,0.997759414569972,0.04180228804367703,0.014698207166494752
2021-06-29,353.4959868181793,353.9623284984824,346.33220223052217,349.1501159667969,21417300,333.6085144042969,320.89081604003906,338.6551736557239,331.8930302148241,6.76214344089982,5.446143896401245,67.96153730664378,348.5646217862504,318.65240702234337,0.08966262392109314,-0.2654264459238376,-0.010544350824890025,0.01504835794173517
2021-06-30,349.4278886007124,350.17204882576885,344.466820433669,345.0025939941406,15107500,334.52928771972654,321.7849981689453,339.63170675751263,332.86823959512327,6.763467162389361,5.7096085842814555,62.25685703366935,349.92630152025424,319.13227391919884,0.09205181349279973,-0.2946122994028192,-0.011878907618780965,0.015422301035576695
2021-07-01,344.1195505239757,351.9084338493456,343.80203488402134,351.630615234375,17137000,335.9357513427734,322.8351574707031,341.47770370721867,334.2635172503891,7.214186456829566,6.010524190481189,67.08522676047404,352.20551791788273,319.6659847676641,0.0968623703197841,0.13433724971040872,0.019211511320830654,0.015549558401868224
2021-07-02,352.3350507654891,353.66461333834536,349.8743501691839,351.93817138671875,11521300,337.1437683105469,323.98969665527346,343.0870145637094,335.57752247817007,7.509492085539307,6.3103177947503735,64.34629942540727,354.419793047137,319.8677435739568,0.10248461552863088,-0.3276944622746105,0.0008746569241098179,0.015420995229084494
2021-07-06,353.7241473646603,355.9963249803974,346.46113656672946,350.0331115722656,13488500,337.9474624633789,325.01465209960935,344.15564944444174,336.6519193469608,7.503730097480911,6.5490002713836475,62.44754618745468,356.07429796976254,319.8206269569952,0.1072760563091841,0.17074462083271857,-0.005413052545413688,0.015115168695977177
