Price,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_12,EMA_26,MACD,Signal,RSI,BB_upper,BB_lower,BB_width,Volume_change,Daily_return,Volatility
Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2021-06-01,162.1750030517578,162.5489959716797,160.4530029296875,160.9324951171875,48600000,161.893399810791,163.19833953857423,161.95301440882062,162.89966953759475,-0.9466551287741254,-0.950289785984154,49.339327241312645,166.14429719276274,157.64250242881928,0.05251477066933993,0.043007983517898474,-0.0013714148069622345,0.013534789902678944
2021-06-02,161.15499877929688,161.75,160.39999389648438,161.69949340820312,40290000,161.6986991882324,163.32145935058594,161.9140033957418,162.80897716428842,-0.8949737685466346,-0.9392264561757546,62.01492045326466,165.57634793039182,157.821050446073,0.04796140923366938,-0.17098765432098761,0.004765962837133042,0.012800633156333034
2021-06-03,160.2115020751953,160.7220001220703,159.20150756835938,159.35049438476562,47966000,161.48987426757813,163.37096923828125,161.51955081155066,162.5480231412095,-1.0284723296588538,-0.9570757939151016,53.37026476046436,165.4026336982851,157.57711483687117,0.04845826338589836,0.1905187391412262,-0.014526941142032901,0.012904110543657067
2021-06-04,160.60000610351562,161.0500030517578,159.9405059814453,160.31100463867188,44994000,161.23949966430663,163.49011932373048,161.3335940711998,162.37946514213363,-1.0458710709338277,-0.9748349790942378,47.52287137567275,164.73983484294985,157.73916448566342,0.04341783726606386,-0.061960555393403616,0.006027657821926935,0.012705047452932406
2021-06-07,159.8665008544922,160.39999389648438,158.61000061035156,159.90049743652344,44316000,161.00549926757813,163.64186920166014,161.11309101700814,162.19291432893561,-1.0798233119274698,-0.9958327684140981,37.83120113911318,164.1755608423866,157.83543769276966,0.03937830184967888,-0.015068675823443178,-0.0025606925929613222,0.012688475526791448
2021-06-08,161.1304931640625,163.97650146484375,160.90049743652344,163.20550537109375,68334000,161.1895492553711,163.85394927978516,161.43503384007974,162.2690255122782,-0.833991672198465,-0.963464397790406,54.89107034129986,164.4243379832142,157.954760527528,0.040136457267688615,0.54197129704847,0.020669153552085318,0.0115862953249898
2021-06-09,163.64349365234375,164.87899780273438,163.53500366210938,164.0574951171875,49110000,161.33264923095703,164.05936920166016,161.83852433487903,162.40330897360136,-0.5647846387223296,-0.8837281476480606,57.21596208440871,164.81248141346344,157.85281704845062,0.043138598406387445,-0.2813240846430767,0.005220349302289318,0.011423466943988214
2021-06-10,164.10049438476562,167.5500030517578,164.0574951171875,167.4824981689453,69530000,161.8269241333008,164.35372924804688,162.7068915809093,162.78428482883635,-0.07739324792703428,-0.7224606850052864,62.921649824212146,165.84001498046445,157.81383328613714,0.04959731971248458,0.41580126247200155,0.02087684594544914,0.01086319799678066
