Price,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_12,EMA_26,MACD,Signal,RSI,BB_upper,BB_lower,BB_width,Volume_change,Daily_return,Volatility
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2021-06-01,117.74881041841671,118.3076907432192,116.74907000230994,118.08304595947266,23354000,114.57617874145508,111.67870666503906,115.93236760841046,114.72385817427015,1.2085094341403106,0.8546498594394549,64.76877243883408,119.60721458369721,109.54514289921295,0.08781992727467079,0.08714272414114133,0.01032316359338492,0.014935493274979316
2021-06-02,118.47827097273424,118.70093322748687,116.65384943203411,117.5578842163086,21158000,114.7342716217041,112.0158203125,116.18249698426555,114.93801386481417,1.2444831194513881,0.9326174016737996,76.8691759336692,119.93724695250164,109.53129629090655,0.09069609729083432,-0.09403100111329965,-0.004447393263756982,0.014495970860442553
2021-06-03,116.3250761646754,116.88494774617168,115.52121891925472,116.41681671142578,18696000,114.81562423706055,112.31956008911133,116.21855225908986,115.04959445571625,1.1689578033736154,0.9798859137825616,69.04560735652211,120.07285058123097,109.55839789289013,0.09157684555746161,-0.11636260516116836,-0.009706431112550762,0.014698296445262658
2021-06-04,117.49243481948021,118.96823639262553,117.15224415049533,118.69747161865234,24458000,114.95502243041992,112.67764053344726,116.59997894682563,115.32445980652207,1.2755191403035582,1.039012991158363,68.70880472421854,120.4756260927854,109.43441876805443,0.09604806376697468,0.3081942661531878,0.019590424920137295,0.015170401492154038
2021-06-07,118.49265941789501,119.2399846738455,118.07412155900927,119.13038635253906,24120000,115.07991523742676,113.04444885253906,116.9893194475344,115.61086881883979,1.3784506286946083,1.1069009155388627,68.52372148663848,120.86690109125733,109.29292938359619,0.10057334230549562,-0.013819609125848342,0.0036472110819476544,0.015137031945283836
2021-06-08,119.61190790368995,119.98432577535812,118.757466274763,118.93896484375,24240000,115.34445343017578,113.41509536743165,117.28929556919527,115.86102442578037,1.4282711434149036,1.1711752617126696,73.98477191319411,121.33596627155336,109.35294058879819,0.10388904994039563,0.004975124378109541,-0.0016068235372174167,0.013796465006117926
2021-06-09,119.58314141281689,119.65504166013505,118.86259530140607,119.41007232666016,17942000,115.686328125,113.77427658081055,117.61559715110923,116.12749718842821,1.4880999626810194,1.234560439058443,74.02783813812158,121.79111440888315,109.58154184111686,0.10554032413038252,-0.2598184818481848,0.003960917967707589,0.01351416739318723
2021-06-10,119.35950068179913,120.80158431684347,119.20378994220064,120.75843811035156,25904000,116.26871490478516,114.15975067138672,118.09914654887854,116.47485118734791,1.6242953615306277,1.3125076568610123,73.24959808545029,121.93911699350937,110.59831281606094,0.09753960200502475,0.44376323709731347,0.011291893199786296,0.011021171114386212
